noc_code,skill_level,class_title
6523,C,Airline ticket and service agents
6524,C,"Ground and water transport ticket agents, cargo service representatives and related clerks"
6525,C,Hotel front desk clerks
6531,C,Tour and travel guides
6532,C,Outdoor sport and recreational guides
6533,C,Casino occupations
6541,C,Security guards and related security service occupations
6551,C,Customer services representatives - financial institutions
6552,C,Other customer and information services representatives
6561,C,"Image, social and other personal consultants"
6562,C,"Estheticians, electrologists and related occupations"
6563,C,Pet groomers and animal care workers
6564,C,Other personal service occupations
6611,D,Cashiers
6621,D,Service station attendants
6622,D,"Store shelf stockers, clerks and order fillers"
6623,D,Other sales related occupations
6711,D,"Food counter attendants, kitchen helpers and related support occupations"
6721,D,"Support occupations in accommodation, travel and facilities set-up services"
6722,D,"Operators and attendants in amusement, recreation and sport"
6731,D,Light duty cleaners
6732,D,Specialized cleaners
6733,D,"Janitors, caretakers and building superintendents"
6741,D,"Dry cleaning, laundry and related occupations"
6742,D,"Other service support occupations, n.e.c."
7201,B,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations"
7202,B,"Contractors and supervisors, electrical trades and telecommunications occupations"
7203,B,"Contractors and supervisors, pipefitting trades"
7204,B,"Contractors and supervisors, carpentry trades"
7205,B,"Contractors and supervisors, other construction trades, installers, repairers and servicers"
7231,B,Machinists and machining and tooling inspectors
7232,B,Tool and die makers
7233,B,Sheet metal workers
7234,B,Boilermakers
7235,B,Structural metal and platework fabricators and fitters
7236,B,Ironworkers
7237,B,Welders and related machine operators
7241,B,Electricians (except industrial and power system)
7242,B,Industrial electricians
7243,B,Power system electricians
7244,B,Electrical power line and cable workers
7245,B,Telecommunications line and cable workers
7246,B,Telecommunications installation and repair workers
7247,B,Cable television service and maintenance technicians
7251,B,Plumbers
7252,B,"Steamfitters, pipefitters and sprinkler system installers"
7253,B,Gas fitters
7271,B,Carpenters
7272,B,Cabinetmakers
7281,B,Bricklayers
7282,B,Concrete finishers
7283,B,Tilesetters
7284,B,"Plasterers, drywall installers and finishers and lathers"
7291,B,Roofers and shinglers
7292,B,Glaziers
7293,B,Insulators
7294,B,Painters and decorators (except interior decorators)
7295,B,Floor covering installers
7301,B,"Contractors and supervisors, mechanic trades"
7302,B,"Contractors and supervisors, heavy equipment operator crews"
7303,B,"Supervisors, printing and related occupations"
7304,B,"Supervisors, railway transport operations"
7305,B,"Supervisors, motor transport and other ground transit operators"
7311,B,Construction millwrights and industrial mechanics
7312,B,Heavy-duty equipment mechanics
7313,B,"Heating, refrigeration and air conditioning mechanics"
7314,B,Railway carmen/women
7315,B,Aircraft mechanics and aircraft inspectors
7316,B,Machine fitters
7318,B,Elevator constructors and mechanics
7321,B,"Automotive service technicians, truck and bus mechanics and mechanical repairers"
7322,B,Motor vehicle body repairers
7331,B,Oil and solid fuel heating mechanics
7332,B,Appliance servicers and repairers
7333,B,Electrical mechanics
7334,B,"Motorcycle, all-terrain vehicle and other related mechanics"
7335,B,Other small engine and small equipment repairers
7361,B,Railway and yard locomotive engineers
7362,B,Railway conductors and brakemen/women
7371,B,Crane operators
7372,B,"Drillers and blasters - surface mining, quarrying and construction"
7373,B,Water well drillers
7381,B,Printing press operators
7384,B,"Other trades and related occupations, n.e.c."
7441,C,Residential and commercial installers and servicers
7442,C,Waterworks and gas maintenance workers
7444,C,Pest controllers and fumigators
7445,C,Other repairers and servicers
7451,C,Longshore workers
7452,C,Material handlers
7511,C,Transport truck drivers
7512,C,"Bus drivers, subway operators and other transit operators"
7513,C,Taxi and limousine drivers and chauffeurs
7514,C,Delivery and courier service drivers
7521,C,Heavy equipment operators (except crane)
7522,C,Public works maintenance equipment operators and related workers
7531,C,Railway yard and track maintenance workers
7532,C,Water transport deck and engine room crew
7533,C,Boat and cable ferry operators and related occupations
7534,C,Air transport ramp attendants
7535,C,Other automotive mechanical installers and servicers
7611,D,Construction trades helpers and labourers
7612,D,Other trades helpers and labourers
7621,D,Public works and maintenance labourers
7622,D,Railway and motor transport labourers
8211,B,"Supervisors, logging and forestry"
8221,B,"Supervisors, mining and quarrying"
8222,B,"Contractors and supervisors, oil and gas drilling and services"
8231,B,Underground production and development miners
8232,B,"Oil and gas well drillers, servicers, testers and related workers"
8241,B,Logging machinery operators
8252,B,"Agricultural service contractors, farm supervisors and specialized livestock workers"
8255,B,"Contractors and supervisors, landscaping, grounds maintenance and horticulture services"
8261,B,Fishing masters and officers
8262,B,Fishermen/women
8411,C,Underground mine service and support workers
8412,C,Oil and gas well drilling and related workers and services operators
8421,C,Chain saw and skidder operators
8422,C,Silviculture and forestry workers
8431,C,General farm workers
8432,C,Nursery and greenhouse workers
8441,C,Fishing vessel deckhands
8442,C,Trappers and hunters
8611,D,Harvesting labourers
8612,D,Landscaping and grounds maintenance labourers
8613,D,Aquaculture and marine harvest labourers
8614,D,Mine labourers
8615,D,"Oil and gas drilling, servicing and related labourers"
8616,D,Logging and forestry labourers
9211,B,"Supervisors, mineral and metal processing"
9212,B,"Supervisors, petroleum, gas and chemical processing and utilities"
9213,B,"Supervisors, food and beverage processing"
9214,B,"Supervisors, plastic and rubber products manufacturing"
9215,B,"Supervisors, forest products processing"
9217,B,"Supervisors, textile, fabric, fur and leather products processing and manufacturing"
9221,B,"Supervisors, motor vehicle assembling"
9222,B,"Supervisors, electronics manufacturing"
9223,B,"Supervisors, electrical products manufacturing"
9224,B,"Supervisors, furniture and fixtures manufacturing"
9226,B,"Supervisors, other mechanical and metal products manufacturing"
9227,B,"Supervisors, other products manufacturing and assembly"
9231,B,"Central control and process operators, mineral and metal processing"
9232,B,"Central control and process operators, petroleum, gas and chemical processing"
9235,B,"Pulping, papermaking and coating control operators"
9241,B,Power engineers and power systems operators
9243,B,Water and waste treatment plant operators
9411,C,"Machine operators, mineral and metal processing"
9412,C,Foundry workers
9413,C,Glass forming and finishing machine operators and glass cutters
9414,C,"Concrete, clay and stone forming operators"
9415,C,"Inspectors and testers, mineral and metal processing"
9416,C,Metalworking and forging machine operators
9417,C,Machining tool operators
9418,C,Other metal products machine operators
9421,C,Chemical plant machine operators
9422,C,Plastics processing machine operators
9423,C,Rubber processing machine operators and related workers
9431,C,Sawmill machine operators
9432,C,Pulp mill machine operators
9433,C,Papermaking and finishing machine operators
9434,C,Other wood processing machine operators
9435,C,Paper converting machine operators
9436,C,Lumber graders and other wood processing inspectors and graders
9437,C,Woodworking machine operators
9441,C,"Textile fibre and yarn, hide and pelt processing machine operators and workers"
9442,C,"Weavers, knitters and other fabric making occupations"
9445,C,"Fabric, fur and leather cutters"
9446,C,Industrial sewing machine operators
9447,C,"Inspectors and graders, textile, fabric, fur and leather products manufacturing"
9461,C,"Process control and machine operators, food and beverage processing"
9462,C,"Industrial butchers and meat cutters, poultry preparers and related workers"
9463,C,Fish and seafood plant workers
9465,C,"Testers and graders, food and beverage processing"
9471,C,Plateless printing equipment operators
9472,C,"Camera, platemaking and other prepress occupations"
9473,C,Binding and finishing machine operators
9474,C,Photographic and film processors
9521,C,Aircraft assemblers and aircraft assembly inspectors
9522,C,"Motor vehicle assemblers, inspectors and testers"
9523,C,"Electronics assemblers, fabricators, inspectors and testers"
9524,C,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing"
9525,C,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers"
9526,C,Mechanical assemblers and inspectors
9527,C,"Machine operators and inspectors, electrical apparatus manufacturing"
9531,C,Boat assemblers and inspectors
9532,C,Furniture and fixture assemblers and inspectors
9533,C,Other wood products assemblers and inspectors
9534,C,Furniture finishers and refinishers
9535,C,"Plastic products assemblers, finishers and inspectors"
9536,C,"Industrial painters, coaters and metal finishing process operators"
9537,C,"Other products assemblers, finishers and inspectors"
9611,D,Labourers in mineral and metal processing
9612,D,Labourers in metal fabrication
9613,D,Labourers in chemical products processing and utilities
9614,D,"Labourers in wood, pulp and paper processing"
9615,D,Labourers in rubber and plastic products manufacturing
9616,D,Labourers in textile processing
9617,D,Labourers in food and beverage processing
9618,D,Labourers in fish and seafood processing
9619,D,"Other labourers in processing, manufacturing and utilities"
