noc_title_2016,noc_title_2021,prov,noc_2016,noc_2016_title,skill_level,noc_2021,noc_2021_title,teer_category,noc_version,min_wage,median_wage,max_wage,mean_wage,source,reference_period,revision_date,text
"0013 - Senior managers - financial, communications and other business services",,Ontario,0013,"Senior managers - financial, communications and other business services",0,,,,2016,35.1,64.9,96.25,64.4,Labour Force Survey,2020-2021,2022-11-16,<b>Max wage: </b>96.25<br><b>Median wage: </b>64.9<br><b>Min wage: </b>35.1<br>
"0013 - Senior managers - financial, communications and other business services",,Ontario,0013,"Senior managers - financial, communications and other business services",0,,,,2016,33.0,64.9,97.44,67.17,Labour Force Survey,2020-2021,2022-11-16,<b>Max wage: </b>97.44<br><b>Median wage: </b>64.9<br><b>Min wage: </b>33.0<br>
"0013 - Senior managers - financial, communications and other business services",,Ontario,0013,"Senior managers - financial, communications and other business services",0,,,,2016,33.65,64.9,97.44,64.69,Labour Force Survey,2020-2021,2022-11-16,<b>Max wage: </b>97.44<br><b>Median wage: </b>64.9<br><b>Min wage: </b>33.65<br>
"0013 - Senior managers - financial, communications and other business services",,Ontario,0013,"Senior managers - financial, communications and other business services",0,,,,2016,46.15,67.31,96.15,67.17,Labour Force Survey,2020-2021,2022-11-16,<b>Max wage: </b>96.15<br><b>Median wage: </b>67.31<br><b>Min wage: </b>46.15<br>
"0013 - Senior managers - financial, communications and other business services",,Manitoba,0013,"Senior managers - financial, communications and other business services",0,,,,2016,34.38,61.54,86.54,61.64,Labour Force Survey,2020-2021,2022-11-16,<b>Max wage: </b>86.54<br><b>Median wage: </b>61.54<br><b>Min wage: </b>34.38<br>
"0013 - Senior managers - financial, communications and other business services",,Manitoba,0013,"Senior managers - financial, communications and other business services",0,,,,2016,29.38,61.54,88.94,60.69,Labour Force Survey,2020-2021,2022-11-16,<b>Max wage: </b>88.94<br><b>Median wage: </b>61.54<br><b>Min wage: </b>29.38<br>
"0013 - Senior managers - financial, communications and other business services",,Saskatchewan,0013,"Senior managers - financial, communications and other business services",0,,,,2016,35.26,61.54,89.02,60.38,Labour Force Survey,2020-2021,2022-11-16,<b>Max wage: </b>89.02<br><b>Median wage: </b>61.54<br><b>Min wage: </b>35.26<br>
"0013 - Senior managers - financial, communications and other business services",,Alberta,0013,"Senior managers - financial, communications and other business services",0,,,,2016,34.62,59.13,87.41,60.91,Labour Force Survey,2020-2021,2022-11-16,<b>Max wage: </b>87.41<br><b>Median wage: </b>59.13<br><b>Min wage: </b>34.62<br>
"0013 - Senior managers - financial, communications and other business services",,Alberta,0013,"Senior managers - financial, communications and other business services",0,,,,2016,33.65,57.69,96.15,61.85,Labour Force Survey,2020-2021,2022-11-16,<b>Max wage: </b>96.15<br><b>Median wage: </b>57.69<br><b>Min wage: </b>33.65<br>
"0013 - Senior managers - financial, communications and other business services",,Alberta,0013,"Senior managers - financial, communications and other business services",0,,,,2016,34.62,59.13,87.18,59.86,Labour Force Survey,2020-2021,2022-11-16,<b>Max wage: </b>87.18<br><b>Median wage: </b>59.13<br><b>Min wage: </b>34.62<br>
"0013 - Senior managers - financial, communications and other business services",,British Columbia,0013,"Senior managers - financial, communications and other business services",0,,,,2016,28.85,62.5,96.15,63.83,Labour Force Survey,2020-2021,2022-11-16,<b>Max wage: </b>96.15<br><b>Median wage: </b>62.5<br><b>Min wage: </b>28.85<br>
"0013 - Senior managers - financial, communications and other business services",,British Columbia,0013,"Senior managers - financial, communications and other business services",0,,,,2016,26.54,61.54,98.08,62.89,Labour Force Survey,2020-2021,2022-11-16,<b>Max wage: </b>98.08<br><b>Median wage: </b>61.54<br><b>Min wage: </b>26.54<br>
"0013 - Senior managers - financial, communications and other business services",,Northwest Territories,0013,"Senior managers - financial, communications and other business services",0,,,,2016,39.95,54.83,79.96,,Small Area Estimation,2021,2022-11-16,<b>Max wage: </b>79.96<br><b>Median wage: </b>54.83<br><b>Min wage: </b>39.95<br>
